PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARY,LANGUAGECODE,NAMETYPE,BASETEXT,PREVIOUS_NAMETYPE,PREVIOUS_LANGUAGECODE,PREVIOUS_BASETEXT
036httek-db4acc04ed2703731f18fb2b45db383e,UPDATE,NAME,TRUE,en,OFFICIAL,Sydney Showground,OFFICIAL,en,Sydney Royal Easter Show
036r3grg-da6071a89784c57597b57244a625ab7c,UPDATE,NAME,TRUE,en,OFFICIAL,INRG MARTIAL ARTS ACADEMY,OFFICIAL,en,Inrg Martial Arts & Fitness Gym
036r3gx2-da175ed76e47dfc7aab98e2ddbb72282,UPDATE,NAME,TRUE,en,OFFICIAL,KOKO Amusement,OFFICIAL,en,Koko Amusement 505 George St.
0368lxx5-b4d5a50f00bb0e0b59b53e2916fa08fe,UPDATE,NAME,TRUE,en,OFFICIAL,Livvi’s Place,OFFICIAL,en,Livvi's Place Five Dock
0368lxx5-be7be5b869ca0ff5a60df094355b5381,UPDATE,NAME,TRUE,en,OFFICIAL,Big Bus Tours,OFFICIAL,en,Bigbus Sydney
036r3gr4-33f700ff486d99bcc510b785bcd127a9,UPDATE,NAME,TRUE,en,OFFICIAL,iPlay,OFFICIAL,en,Iplay Liverpool
036r3gry-23bed09057c70bc8cb238a15c3477879,UPDATE,NAME,TRUE,en,OFFICIAL,FREAK VR,OFFICIAL,en,Freak VR Macquarie
036r3gpu-fc28f0204d0a0b96cd3db790918ce5a6,UPDATE,NAME,TRUE,en,OFFICIAL,Flip Out,OFFICIAL,en,Flipout Trampoline Arena
036r6586-b6dc0e2cc76b933cb71dae913c3fe5b9,UPDATE,NAME,TRUE,en,OFFICIAL, Coastal Environment Centre,OFFICIAL,en,Coastal Environment Centre Cec
036r3gpy-c55286f5689e696b27fee2ad3ed3ed76,UPDATE,NAME,TRUE,en,OFFICIAL,Museums of History NSW ,OFFICIAL,en,Museums of History NSW-State Archives Collection
036r3grp-dd51adc34883494db417495a1d1c2d33,UPDATE,NAME,TRUE,en,OFFICIAL,Boomalli Aboriginal Artists,OFFICIAL,en,Boomalli Aboriginal Artists Co-Operative
036r3gx2-2888f483f60387019d9305576167eaae,UPDATE,NAME,TRUE,en,OFFICIAL,Mark Foy's,OFFICIAL,en,Mark Foys Landmark Building
036r3grs-79ddddda8ce9d64b09fd4f35baa94fc3,UPDATE,NAME,TRUE,en,OFFICIAL,Blue Plaques,OFFICIAL,en,Blue Plaque David Lennox
036r3gx1-f20ee4a5f9a77a2311bb52456ebdf4b2,UPDATE,NAME,TRUE,en,OFFICIAL,SOHOStudio,OFFICIAL,en,Sohostudio Sydney
036r3gre-39f2a0f6750c3e07bb6f87f6a90f4b54,UPDATE,NAME,TRUE,en,OFFICIAL,Frist Building Governor Phillip's redoubt,OFFICIAL,en,First Government House Foundation Stone
036r3gx6-217e91b6be4ff161a071efbb2055b171,UPDATE,NAME,TRUE,en,OFFICIAL,Wintergarden Theatre,OFFICIAL,en,Wintergarden Theatre Plaque
036r3gx8-e517eebfd7824874a8bc23325180a457,UPDATE,NAME,TRUE,en,OFFICIAL,Sexton's Cottage Museum,OFFICIAL,en,Sextons Cottage Museum
036aabd1-45d2c87974ed07ba74fe79a80c021910,UPDATE,NAME,TRUE,en,OFFICIAL,CAMDEN HISTORICAL SOCIETY,OFFICIAL,en,Camden Historical Soc
036r3gqq-394fe635d8d8fdfdeea12e87caecb3df,UPDATE,NAME,TRUE,en,OFFICIAL,Sutherland Shire Historical Society,OFFICIAL,en,Sutherland Shire Museum
036r3grb-16d8c64360c8838e5351a8e4faa2b78a,UPDATE,NAME,TRUE,en,OFFICIAL,The Manse,OFFICIAL,en,The Manse Mount Druitt
036r3gx2-a97acf6d4584400bab07b3cc925c9a4d,UPDATE,NAME,TRUE,en,OFFICIAL,Warrane,OFFICIAL,en,Macquarie Group-Warrane Exhibition Space
036r3gqy-bbcaa2a8fc2d4146ad1ce084185fd421,UPDATE,NAME,TRUE,en,OFFICIAL,Sun Art Framing,OFFICIAL,en,Sun Art Gallery Framing
036r3grs-e882c6aa233cbd4bacf275c66180f27e,UPDATE,NAME,TRUE,en,OFFICIAL,Burnside Museum North Parramatta,OFFICIAL,en,Uniting Burnside Museum North Parramatta
036r3gx2-a27807fa67644a8d9d68ce9709314137,UPDATE,NAME,TRUE,en,OFFICIAL,The MV Cape Don,OFFICIAL,en,MV Cape Don Society Inc
036r3gxd-e660e540acb98ad5c671e1fd981d654b,UPDATE,NAME,TRUE,en,OFFICIAL,Lightkeeper’s Cottages 1858,OFFICIAL,en,Lightkeepers Cottages 1858
036r650h-eef1dff852a24e8a817780d23481b760,UPDATE,NAME,TRUE,en,OFFICIAL,Arms of Australia Inn Museum 1840,OFFICIAL,en,The Arms of Australia Inn Museum
036r3gx0-fe8e1efab74c4ff89591f27bb18ed2d2,UPDATE,NAME,TRUE,en,OFFICIAL,Gallery LNL$$,OFFICIAL,en,Kerrie Lowe Gallery
036r3gx2-eba23bda0d2475dc19493e22d84d3ba6,UPDATE,NAME,TRUE,en,OFFICIAL,Harbour Mill,OFFICIAL,en,Harbour Mill Weighbridge
036r3grz-4e02c6f1e021cea6249d54fb534abc86,UPDATE,NAME,TRUE,en,OFFICIAL,Ethel Turner,OFFICIAL,en,Blue Plaque Ethel Turner
