PLACEID,CHANGETYPE,ATTRIBUTENAME,PLACESTATUS
036r3grs-33636095f33ccebccb3c45090b467f09,UPDATE,STATUS,INACTIVE
036r3gqc-8d0a58113ff2527dc6cbe9ee998fbf3e,UPDATE,STATUS,INACTIVE
036r3gx0-6f157380baf24ab38a3892c01ec32265,UPDATE,STATUS,INACTIVE
036r3gx2-3bff1e1040c0ecef675a62b47e175f27,UPDATE,STATUS,INACTIVE
036r3grq-c801e55e17fa4c34477af79acb6adc36,UPDATE,STATUS,INACTIVE
036r3gx0-82f9a493496310be5512e17e7a36c5a7,UPDATE,STATUS,INACTIVE
036r6525-a72d52dbcc55ae1b356b3aee6ff861ff,UPDATE,STATUS,INACTIVE
036r3gxd-673a49b6582ed6da1d0aed3887bfcbcc,UPDATE,STATUS,INACTIVE
036r3gxd-68abae81d2f94c32914b94362c2e64eb,UPDATE,STATUS,INACTIVE
036r3gqz-a7e86d8a99d8e3b5b7c46b393ed9c747,UPDATE,STATUS,INACTIVE
036r3gx8-922c4d7b94b23b923c176a67bb424e0b,UPDATE,STATUS,INACTIVE
036r3grh-754ef0f73dc0c35c870698da7c4d249c,UPDATE,STATUS,INACTIVE
036r3gqq-e6d15e298287d0ed8b12255d0d03a4fe,UPDATE,STATUS,INACTIVE
036r3gqg-812461e59d248c39e82900454c3a5061,UPDATE,STATUS,INACTIVE
036r3gx2-0770c453088f6ff0d828c1a19671791a,UPDATE,STATUS,INACTIVE
0368lxx5-92c6106d985b067a198e22de43de4306,UPDATE,STATUS,INACTIVE
036r3gx0-7e455f9b8f11ed2ac5b590421c541869,UPDATE,STATUS,INACTIVE
0368lxx5-7333a628edc10fe0f681eeb13c2a1771,UPDATE,STATUS,INACTIVE
036r3gx2-880673146fd7442eacddf365812e387d,UPDATE,STATUS,INACTIVE
0369b6ea-05ce04ea19cf73a57e1bceb0bb0af556,UPDATE,STATUS,INACTIVE
036r3grq-a4bf53a24af045009ba104ffdf2e8168,UPDATE,STATUS,INACTIVE
036r3gr5-c0add2f582c74ed097842e3cc22496b4,UPDATE,STATUS,INACTIVE
